Train_size;Center_size;Kernel;Points_distribution;Best_epoch;Linf_Loss;Poly_degree;Trained_shapes;Trained_centers;Starting_shape;Trained_coefficients
15;5;gaussian_kernel;Equi;48138;1.290440559387207e-05;-1;0.3520263731479645, 0.8051977157592773, 1.3893367052078247, 0.8941858410835266, 1.466031789779663;2.2516229152679443, 0.8319234251976013, -1.1192952394485474, 0.6652233004570007, 1.4134197235107422;1;
15;5;gaussian_kernel;Equi;49859;8.385628461837769e-06;-1;-9.95409266124625e-08, 1.2090060710906982, 0.7395487427711487, 1.184517741203308, 1.3878014087677002;1.0696645975112915, -0.2602139115333557, 0.47116556763648987, 1.2506167888641357, 0.49007827043533325;1;
15;5;gaussian_kernel;Equi;46399;9.387731552124023e-06;-1;4.758038668904721e-36, 1.2888271808624268, 0.7789011597633362, 1.1387286186218262, 1.3688304424285889;0.4269775450229645, -0.37356990575790405, 0.5644981861114502, 0.5337972640991211, 1.4017568826675415;1;
15;5;gaussian_kernel;Equi;48785;9.951589163392782e-06;-1;0.7757317423820496, 1.1936233043670654, 3.256770235856756e-35, 1.1861329078674316, 1.4575798511505127;0.48466458916664124, -0.20902757346630096, 0.0917377844452858, 1.2059754133224487, 0.49891868233680725;1;
15;5;gaussian_kernel;Equi;48039;5.4836273193359375e-05;-1;7.17583548137668e-09, 0.6823515295982361, 0.6749013066291809, 0.47383859753608704, -1.7989869685002002e-41;1.3334928750991821, -0.36725085973739624, 1.3528501987457275, 0.47881680727005005, -0.25801360607147217;1;
15;5;gaussian_kernel;Equi;32921;0.0005538463592529297;-1;1.0789998175301091e-43, 1.5694542800437951e-43, -2.519646148456488e-29, 0.209421768784523, 0.20942077040672302;0.5711360573768616, 0.5276249647140503, 0.44696685671806335, 0.5000415444374084, 0.5000410079956055;1;
15;5;gaussian_kernel;Equi;49750;9.34302806854248e-06;-1;1.24638831615448, 1.2427533864974976, -1.5851001880420185e-14, 0.7745895981788635, 1.4102336168289185;1.2699707746505737, -0.2688448131084442, 0.27793264389038086, 0.503711998462677, 0.5013689398765564;1;
15;5;gaussian_kernel;Equi;47349;1.0189483873546124e-05;-1;0.8230212330818176, 0.811377763748169, 5.660442975933684e-21, 1.4331961870193481, 1.4290944337844849;0.5010654330253601, 0.5015234351158142, 1.3431355953216553, 1.4109474420547485, -0.410485178232193;1;
15;5;gaussian_kernel;Equi;49959;5.345791578292847e-05;-1;0.6819903254508972, -7.931349308078465e-43, 2.3463574968596648e-14, 0.6720556020736694, 0.47307929396629333;1.3716951608657837, 1.261022686958313, 1.23622465133667, -0.3532625734806061, 0.526797890663147;1;
15;5;gaussian_kernel;Equi;46039;1.1816620826721191e-05;-1;1.4249176979064941, -1.8274402896814977e-18, 0.8705790042877197, 1.563266396522522, 0.5683115124702454;-0.436896950006485, 1.0156396627426147, 0.21392317116260529, 2.0083398818969727, 1.0944874286651611;1;
15;5;gaussian_kernel;Equi;49894;5.398119901656173e-05;-1;1.5877873714432224e-35, -5.516204009583957e-29, 0.47390350699424744, 0.6779351234436035, 0.6741220951080322;-0.525445818901062, 1.3645763397216797, 0.48890459537506104, -0.3591206669807434, 1.351308822631836;1;
15;5;gaussian_kernel;Equi;40177;5.758553743362427e-05;-1;2.6660795175543047e-37, -4.019553178694057e-39, 0.4674051105976105, 0.7082669734954834, 0.635162889957428;-0.04184771329164505, 1.0212050676345825, 0.8242866396903992, 1.4035613536834717, -0.28223904967308044;1;
15;5;gaussian_kernel;Equi;49494;5.872547626495361e-05;-1;0.6871501207351685, 6.685594973293702e-42, 0.46880006790161133, 0.6636335253715515, -7.41921660826067e-13;1.3757891654968262, 1.4234132766723633, 0.576454758644104, -0.33007705211639404, 0.023272326216101646;1;
15;5;gaussian_kernel;Equi;48668;9.557352314004675e-06;-1;1.407375454902649, 1.4200764894485474, 0.8464866280555725, -2.9274039547999564e-07, 0.8031638860702515;1.4170825481414795, -0.4181278347969055, 0.49903807044029236, 0.35141634941101074, 0.49220359325408936;1;
15;5;gaussian_kernel;Equi;49930;9.69434404396452e-06;-1;0.00011818481289083138, 1.4307372570037842, 0.8436725735664368, 1.4258954524993896, 0.8095542192459106;0.33756738901138306, 1.4108446836471558, 0.49866172671318054, -0.4105360507965088, 0.5039557218551636;1;
15;5;gaussian_kernel;Equi;48071;5.685538053512573e-05;-1;-3.377129299022809e-43, 2.8306228979361305e-43, 0.6620878577232361, 0.6614837050437927, 9.067802362645891e-42;1.0098789930343628, -0.018444634974002838, -0.307736337184906, 1.3049414157867432, 1.2628810405731201;1;
15;5;gaussian_kernel;Equi;44745;5.330890417098999e-05;-1;4.004979674665079e-39, -1.250766741276334e-35, 0.47159379720687866, 0.6705563068389893, 0.6744649410247803;1.4129364490509033, 1.256826639175415, 0.48568031191825867, 1.3413857221603394, -0.3499329686164856;1;
15;5;gaussian_kernel;Equi;49318;9.933137334883213e-06;-1;1.44270658493042, 0.7873299717903137, 1.442870855331421, -5.882286879810295e-10, 0.7909185886383057;-0.41066884994506836, 0.5117979645729065, 1.410582423210144, 0.633347749710083, 0.48955607414245605;1;
15;5;gaussian_kernel;Equi;48836;9.894371032714844e-06;-1;1.442952036857605, 0.7897917628288269, -3.812109079908308e-27, 0.7999950051307678, 1.4421519041061401;1.4095890522003174, 0.5018816590309143, 0.24665023386478424, 0.49879565834999084, -0.40959349274635315;1;
15;5;gaussian_kernel;Equi;49747;9.153038263320923e-06;-1;1.1194955110549927, 1.369059681892395, 0.7897528409957886, -2.103224687743932e-06, 1.3192390203475952;0.4793938994407654, -0.39936795830726624, 0.463138610124588, 0.569556713104248, 1.3822697401046753;1;
15;5;gaussian_kernel;Equi;46381;1.0290390491718426e-05;-1;1.4296131134033203, -2.0664948453398077e-40, 0.8561140894889832, 1.4047367572784424, 0.7949501872062683;-0.41519007086753845, 0.3976120054721832, 0.4983648359775543, 1.4131028652191162, 0.48108363151550293;1;
15;5;gaussian_kernel;Equi;39936;9.778887033462524e-06;-1;0.8688512444496155, 6.99163291103582e-26, 1.4028655290603638, 0.8045940399169922, 1.4076917171478271;0.49208715558052063, 0.4684845805168152, -0.4195448160171509, 0.5098658800125122, 1.4188635349273682;1;
15;5;gaussian_kernel;Equi;47673;0.00045455992221832275;-1;-1.6815581571897805e-44, 0.20999884605407715, 0.21001026034355164, -6.50640237410364e-32, 0.00017324481450486928;0.4676193296909332, 0.4999949038028717, 0.5000073909759521, 0.497191458940506, 0.5708298087120056;1;
15;5;gaussian_kernel;Equi;48311;9.722449249238707e-06;-1;-3.1553995605917317e-18, 0.8121777176856995, 0.9080141186714172, 1.4110280275344849, 1.363674521446228;0.6525368094444275, 0.46779364347457886, 0.4951048791408539, -0.42522770166397095, 1.4179524183273315;1;
15;5;gaussian_kernel;Equi;48146;9.540468454360962e-06;-1;0.7728480696678162, 1.4467710256576538, 1.445328712463379, 0.775697648525238, -4.1886524804191083e-10;0.49918273091316223, -0.4111706018447876, 1.4109255075454712, 0.5003082156181335, 0.786994993686676;1;
15;5;gaussian_kernel;Equi;48092;1.0523945093154907e-05;-1;0.8082455396652222, 2.6139440004874226e-12, 1.44797682762146, 1.36692214012146, 0.9656434059143066;0.4525092542171478, 0.5806654095649719, -0.41315704584121704, 1.404854416847229, 0.49829623103141785;1;
15;5;gaussian_kernel;Equi;48639;9.603239959687926e-06;-1;1.4462863206863403, 0.7680111527442932, 0.773707389831543, 1.44785475730896, -4.1875227907439694e-07;-0.4114669859409332, 0.4998703598976135, 0.5012146234512329, 1.411271333694458, 0.4196409583091736;1;
15;5;gaussian_kernel;Equi;48329;1.1656433343887329e-05;-1;1.1784673929214478, 1.2782424688339233, 4.3129460802335114e-19, -1.3732724950383207e-43, 1.310655117034912;0.472687304019928, 1.3193906545639038, 1.0702948570251465, -0.027745012193918228, -0.3516216576099396;1;
15;5;gaussian_kernel;Equi;49397;5.587076520896517e-05;-1;0.6598619222640991, 0.6599542498588562, -1.2132904532617493e-39, 3.357261846304027e-08, -2.0949412041656015e-42;1.3084263801574707, -0.3087863028049469, -0.2930181324481964, 1.345859169960022, -0.30706876516342163;1;
15;5;gaussian_kernel;Equi;49807;5.395710468292236e-05;-1;0.6756244897842407, -1.5766168692621377e-31, 0.4730735719203949, 0.6768122315406799, -4.1940863037241775e-42;-0.35676833987236023, -0.9056434035301208, 0.5034952759742737, 1.359122395515442, 1.386760950088501;1;
15;5;gaussian_kernel;Equi;49906;1.1108815670013428e-05;-1;1.306842565536499, 1.0131388902664185, 1.4007405042648315, 0.811823844909668, -3.657918875525956e-35;1.405915379524231, 0.4720648229122162, -0.43146732449531555, 0.43614140152931213, 0.5621877908706665;1;
15;5;gaussian_kernel;Equi;44043;9.506940841674805e-06;-1;0.7913476228713989, 1.411311149597168, 0.9040086269378662, 1.3399245738983154, 2.2319997029864476e-20;0.4448608458042145, -0.4333171546459198, 0.5002883076667786, 1.4243944883346558, 0.8482212424278259;1;
15;5;gaussian_kernel;Equi;49886;5.602836608886719e-05;-1;-8.79650833667256e-05, 4.04686874289073e-12, -4.808712674275739e-06, 0.661163866519928, 0.6600690484046936;1.2060049772262573, 1.5549967288970947, -0.43255749344825745, 1.3078687191009521, -0.3071918487548828;1;
15;5;gaussian_kernel;Equi;48378;5.607306957244873e-05;-1;0.6545480489730835, 4.2492974632185753e-41, 0.6984384655952454, 0.46794775128364563, -4.158897443023194e-18;-0.30448147654533386, -0.05571577697992325, 1.3834868669509888, 0.674712061882019, 1.2555550336837769;1;
15;5;gaussian_kernel;Equi;42880;5.839194272994064e-05;-1;1.9153670968663265e-25, 0.652787983417511, 0.6943368315696716, 1.862325659087682e-41, 0.4658447802066803;1.2031443119049072, 1.30433189868927, -0.38183704018592834, 1.077666997909546, 0.32261425256729126;1;
15;5;gaussian_kernel;Equi;49006;5.513668293133378e-05;-1;0.47454655170440674, -3.212219726322907e-11, 0.630643367767334, -1.2797318484068778e-29, 0.7124519944190979;0.9329422116279602, -0.6301518082618713, -0.2784310281276703, -0.2170713245868683, 1.4075701236724854;1;
15;5;gaussian_kernel;Equi;41472;6.6963293647859246e-06;-1;1.079501986503601, 1.157822608947754, 1.4099645614624023, 2.7413954572137882e-18, 0.8300058841705322;-0.5010567903518677, -1.4008742570877075, 2.1707603931427, 0.35568076372146606, 0.5513836741447449;1;
15;5;gaussian_kernel;Equi;49109;5.515550947166048e-05;-1;0.6697683930397034, 0.680550217628479, 0.4707184135913849, -6.099716289254889e-39, 1.601684144723266e-41;-0.3451540172100067, 1.3673148155212402, 0.5310036540031433, -0.0008710048859938979, -0.010284739546477795;1;
